timestart,timeend,confidence,target
2019-03-19 16:06:15.000,2019-03-19 16:06:19.979,1.0,-1
2019-03-19 16:06:20.000,2019-03-19 16:06:24.979,1.0,-1
2019-03-19 16:06:25.000,2019-03-19 16:06:29.979,1.0,-1
2019-03-19 16:06:30.000,2019-03-19 16:06:34.979,1.0,-1
2019-03-19 16:06:35.000,2019-03-19 16:06:39.979,1.0,-1
2019-03-19 16:06:40.000,2019-03-19 16:06:44.979,1.0,-1
2019-03-19 16:06:45.000,2019-03-19 16:06:49.979,1.0,-1
2019-03-19 16:06:50.000,2019-03-19 16:06:54.979,1.0,-1
2019-03-19 16:06:55.000,2019-03-19 16:06:59.979,1.0,-1
2019-03-19 16:07:00.000,2019-03-19 16:07:04.980,1.0,-1
2019-03-19 16:07:05.000,2019-03-19 16:07:09.979,1.0,-1
2019-03-19 16:07:10.000,2019-03-19 16:07:14.979,1.0,-1
2019-03-19 16:07:15.000,2019-03-19 16:07:19.979,1.0,-1
2019-03-19 16:07:20.000,2019-03-19 16:07:24.979,1.0,-1
2019-03-19 16:07:25.000,2019-03-19 16:07:29.979,1.0,-1
2019-03-19 16:07:30.000,2019-03-19 16:07:34.979,1.0,-1
2019-03-19 16:07:35.000,2019-03-19 16:07:39.979,1.0,-1
2019-03-19 16:07:40.000,2019-03-19 16:07:44.979,1.0,-1
2019-03-19 16:07:45.000,2019-03-19 16:07:49.979,1.0,-1
2019-03-19 16:07:50.000,2019-03-19 16:07:54.979,1.0,-1
2019-03-19 16:07:55.000,2019-03-19 16:07:59.979,1.0,-1
2019-03-19 16:08:00.000,2019-03-19 16:08:04.980,1.0,-1
2019-03-19 16:08:05.000,2019-03-19 16:08:09.979,1.0,-1
2019-03-19 16:08:10.000,2019-03-19 16:08:14.979,1.0,-1
2019-03-19 16:08:15.000,2019-03-19 16:08:19.979,1.0,-1
2019-03-19 16:08:20.000,2019-03-19 16:08:24.979,1.0,-1
2019-03-19 16:08:25.000,2019-03-19 16:08:29.979,1.0,-1
2019-03-19 16:08:30.000,2019-03-19 16:08:34.979,1.0,-1
2019-03-19 16:08:35.000,2019-03-19 16:08:39.979,1.0,-1
2019-03-19 16:08:40.000,2019-03-19 16:08:44.979,1.0,-1
2019-03-19 16:08:45.000,2019-03-19 16:08:49.979,1.0,-1
2019-03-19 16:08:50.000,2019-03-19 16:08:54.979,1.0,-1
2019-03-19 16:08:55.000,2019-03-19 16:08:59.979,1.0,-1
2019-03-19 16:09:00.000,2019-03-19 16:09:04.980,1.0,-1
2019-03-19 16:09:05.000,2019-03-19 16:09:09.979,1.0,-1
2019-03-19 16:09:10.000,2019-03-19 16:09:14.979,1.0,-1
2019-03-19 16:09:15.000,2019-03-19 16:09:19.979,1.0,-1
2019-03-19 16:09:20.000,2019-03-19 16:09:24.979,1.0,-1
2019-03-19 16:09:25.000,2019-03-19 16:09:29.979,1.0,-1
2019-03-19 16:09:30.000,2019-03-19 16:09:34.979,1.0,-1
2019-03-19 16:09:35.000,2019-03-19 16:09:39.979,1.0,-1
2019-03-19 16:09:40.000,2019-03-19 16:09:44.979,1.0,-1
2019-03-19 16:09:45.000,2019-03-19 16:09:49.979,1.0,-1
2019-03-19 16:09:50.000,2019-03-19 16:09:54.979,1.0,-1
2019-03-19 16:09:55.000,2019-03-19 16:09:59.979,1.0,-1
2019-03-19 16:10:00.000,2019-03-19 16:10:04.980,1.0,-1
2019-03-19 16:10:05.000,2019-03-19 16:10:09.979,1.0,-1
2019-03-19 16:10:10.000,2019-03-19 16:10:14.979,1.0,-1
2019-03-19 16:10:15.000,2019-03-19 16:10:19.979,1.0,-1
2019-03-19 16:10:20.000,2019-03-19 16:10:24.979,1.0,-1
2019-03-19 16:10:25.000,2019-03-19 16:10:29.979,1.0,-1
2019-03-19 16:10:30.000,2019-03-19 16:10:34.979,1.0,-1
2019-03-19 16:10:35.000,2019-03-19 16:10:39.979,1.0,-1
2019-03-19 16:10:40.000,2019-03-19 16:10:44.979,1.0,-1
2019-03-19 16:10:45.000,2019-03-19 16:10:49.979,1.0,-1
2019-03-19 16:10:50.000,2019-03-19 16:10:54.979,1.0,-1
2019-03-19 16:10:55.000,2019-03-19 16:10:59.979,1.0,-1
2019-03-19 16:11:00.000,2019-03-19 16:11:04.980,1.0,-1
2019-03-19 16:11:05.000,2019-03-19 16:11:09.979,1.0,-1
